 ±º‰¥¡,CH1-æ‡¿Î1
1184.15735,-0.050601
1184.15835,-0.050244
1184.15935,-0.049897
1184.16035,-0.049524
1184.16135,-0.049117
1184.16235,-0.048698
1184.16335,-0.048251
1184.16435,-0.047792
1184.16535,-0.047344
1184.16635,-0.046911
1184.16735,-0.046531
1184.16835,-0.046211
1184.16935,-0.045957
1184.17035,-0.045752
1184.17135,-0.045568
1184.17235,-0.045387
1184.17335,-0.045206
1184.17435,-0.045033
1184.17535,-0.044876
1184.17635,-0.044734
1184.17735,-0.04463
1184.17835,-0.044566
1184.17935,-0.044557
1184.18035,-0.044571
1184.18135,-0.044602
1184.18235,-0.044652
1184.18335,-0.044718
1184.18435,-0.044822
1184.18535,-0.044977
1184.18635,-0.04518
1184.18735,-0.045441
1184.18835,-0.045772
1184.18935,-0.046157
1184.19035,-0.04657
1184.19135,-0.047012
1184.19235,-0.047456
1184.19335,-0.047892
1184.19435,-0.048309
1184.19535,-0.048716
1184.19635,-0.049128
1184.19735,-0.049537
1184.19835,-0.049945
1184.19935,-0.050325
1184.20035,-0.050641
1184.20135,-0.050884
1184.20235,-0.051048
1184.20335,-0.051147
1184.20435,-0.051189
1184.20535,-0.051182
1184.20635,-0.051129
1184.20735,-0.051039
1184.20835,-0.050919
1184.20935,-0.050762
1184.21035,-0.050562
1184.21135,-0.050286
1184.21235,-0.049946
1184.21335,-0.049537
1184.21435,-0.049075
1184.21535,-0.048572
1184.21635,-0.048088
1184.21735,-0.047617
1184.21835,-0.047175
1184.21935,-0.046752
1184.22035,-0.04631
1184.22135,-0.045866
1184.22235,-0.04543
1184.22335,-0.044983
1184.22435,-0.044564
1184.22535,-0.044183
1184.22635,-0.04386
1184.22735,-0.043624
1184.22835,-0.043459
1184.22935,-0.043353
1184.23035,-0.043298
1184.23135,-0.043284
1184.23235,-0.043267
1184.23335,-0.043251
1184.23435,-0.043253
1184.23535,-0.043291
1184.23635,-0.043377
1184.23735,-0.043515
1184.23835,-0.043688
1184.23935,-0.04389
1184.24035,-0.044107
1184.24135,-0.044318
1184.24235,-0.044527
1184.24335,-0.044726
1184.24435,-0.044903
1184.24535,-0.045078
1184.24635,-0.045249
1184.24735,-0.045436
1184.24835,-0.04564
1184.24935,-0.045866
1184.25035,-0.046072
1184.25135,-0.046213
1184.25235,-0.046321
1184.25335,-0.046401
1184.25435,-0.046474
1184.25535,-0.046574
1184.25635,-0.046701
1184.25735,-0.046852
1184.25835,-0.047006
1184.25935,-0.04717
1184.26035,-0.047338
1184.26135,-0.047525
1184.26235,-0.047717
1184.26335,-0.047881
1184.26435,-0.048051
1184.26535,-0.048212
1184.26635,-0.048395
1184.26735,-0.048629
1184.26835,-0.04889
1184.26935,-0.049148
1184.27035,-0.049391
1184.27135,-0.049603
1184.27235,-0.049785
1184.27335,-0.049928
1184.27435,-0.050036
1184.27535,-0.05012
1184.27635,-0.050195
1184.27735,-0.050251
1184.27835,-0.050288
1184.27935,-0.050326
1184.28035,-0.050337
1184.28135,-0.050317
1184.28235,-0.05025
1184.28335,-0.050138
1184.28435,-0.050005
1184.28535,-0.049851
1184.28635,-0.049703
1184.28735,-0.049577
1184.28835,-0.049457
1184.28935,-0.04938
1184.29035,-0.049323
1184.29135,-0.049287
1184.29235,-0.04925
1184.29335,-0.049237
1184.29435,-0.049274
1184.29535,-0.049352
1184.29635,-0.049515
1184.29735,-0.049753
1184.29835,-0.050078
1184.29935,-0.0505
1184.30035,-0.050994
1184.30135,-0.051582
1184.30235,-0.052238
1184.30335,-0.052914
1184.30435,-0.053603
1184.30535,-0.054258
1184.30635,-0.054923
1184.30735,-0.055607
1184.30835,-0.056307
1184.30935,-0.056972
1184.31035,-0.057563
1184.31135,-0.05808
1184.31235,-0.058464
1184.31335,-0.058729
1184.31435,-0.058866
1184.31535,-0.058835
1184.31635,-0.058678
1184.31735,-0.058356
1184.31835,-0.057945
1184.31935,-0.05749
1184.32035,-0.057048
1184.32135,-0.056671
1184.32235,-0.056316
1184.32335,-0.055934
1184.32435,-0.055534
1184.32535,-0.055122
1184.32635,-0.054773
1184.32735,-0.054484
1184.32835,-0.054278
1184.32935,-0.054168
1184.33035,-0.054137
1184.33135,-0.054225
1184.33235,-0.054367
1184.33335,-0.054561
1184.33435,-0.054753
1184.33535,-0.054917
1184.33635,-0.055038
1184.33735,-0.055094
1184.33835,-0.055096
1184.33935,-0.055084
1184.34035,-0.055058
1184.34135,-0.05502
1184.34235,-0.054914
1184.34335,-0.054755
1184.34435,-0.05451
1184.34535,-0.054206
1184.34635,-0.053872
1184.34735,-0.05351
1184.34835,-0.053121
1184.34935,-0.052741
1184.35035,-0.052373
1184.35135,-0.052008
1184.35235,-0.051637
1184.35335,-0.051248
1184.35435,-0.050835
1184.35535,-0.050398
1184.35635,-0.049968
1184.35735,-0.049561
1184.35835,-0.04919
1184.35935,-0.048833
1184.36035,-0.048541
1184.36135,-0.048271
1184.36235,-0.047987
1184.36335,-0.047686
1184.36435,-0.047388
1184.36535,-0.047075
1184.36635,-0.046738
1184.36735,-0.046398
1184.36835,-0.046055
1184.36935,-0.045723
1184.37035,-0.0454
1184.37135,-0.045096
1184.37235,-0.044729
1184.37335,-0.044305
1184.37435,-0.043832
1184.37535,-0.043318
1184.37635,-0.04279
1184.37735,-0.042248
1184.37835,-0.04172
1184.37935,-0.041202
1184.38035,-0.040677
1184.38135,-0.040166
1184.38235,-0.039662
1184.38335,-0.039156
1184.38435,-0.038647
1184.38535,-0.038127
1184.38635,-0.037618
1184.38735,-0.037133
1184.38835,-0.036745
1184.38935,-0.036436
1184.39035,-0.036187
1184.39135,-0.03602
1184.39235,-0.035885
1184.39335,-0.035793
1184.39435,-0.03572
1184.39535,-0.035653
1184.39635,-0.035625
1184.39735,-0.035636
1184.39835,-0.035696
1184.39935,-0.035804
1184.40035,-0.035991
1184.40135,-0.036247
1184.40235,-0.036587
1184.40335,-0.036944
1184.40435,-0.037331
1184.40535,-0.037746
1184.40635,-0.038216
1184.40735,-0.038718
1184.40835,-0.039242
1184.40935,-0.039787
1184.41035,-0.040371
1184.41135,-0.040997
1184.41235,-0.041651
1184.41335,-0.042308
1184.41435,-0.042954
1184.41535,-0.043589
1184.41635,-0.044176
1184.41735,-0.044726
1184.41835,-0.045236
1184.41935,-0.045737
1184.42035,-0.046204
1184.42135,-0.046645
1184.42235,-0.047034
1184.42335,-0.047377
1184.42435,-0.047693
1184.42535,-0.047989
1184.42635,-0.048265
1184.42735,-0.048541
1184.42835,-0.048806
1184.42935,-0.049087
1184.43035,-0.049365
1184.43135,-0.049634
1184.43235,-0.049899
1184.43335,-0.050167
1184.43435,-0.050432
1184.43535,-0.050696
1184.43635,-0.050964
1184.43735,-0.051242
1184.43835,-0.051536
1184.43935,-0.051831
1184.44035,-0.052123
1184.44135,-0.052401
1184.44235,-0.052682
1184.44335,-0.052973
1184.44435,-0.053252
1184.44535,-0.053536
1184.44635,-0.053793
1184.44735,-0.054047
1184.44835,-0.054311
1184.44935,-0.054565
1184.45035,-0.05482
1184.45135,-0.055063
1184.45235,-0.055312
1184.45335,-0.055548
1184.45435,-0.055794
1184.45535,-0.056028
1184.45635,-0.056248
1184.45735,-0.056416
1184.45835,-0.056503
1184.45935,-0.056485
1184.46035,-0.05639
1184.46135,-0.056211
1184.46235,-0.055968
1184.46335,-0.055652
1184.46435,-0.055233
1184.46535,-0.054724
1184.46635,-0.054135
1184.46735,-0.053501
1184.46835,-0.052794
1184.46935,-0.052043
1184.47035,-0.051218
1184.47135,-0.050342
1184.47235,-0.04943
1184.47335,-0.048499
1184.47435,-0.047586
1184.47535,-0.046689
1184.47635,-0.045829
1184.47735,-0.045003
1184.47835,-0.04427
1184.47935,-0.043632
1184.48035,-0.043066
1184.48135,-0.042602
1184.48235,-0.042179
1184.48335,-0.041802
1184.48435,-0.041453
1184.48535,-0.041147
1184.48635,-0.040896
1184.48735,-0.040716
1184.48835,-0.040602
1184.48935,-0.040584
1184.49035,-0.040605
1184.49135,-0.0407
1184.49235,-0.040842
1184.49335,-0.041005
1184.49435,-0.041178
1184.49535,-0.041371
1184.49635,-0.041602
1184.49735,-0.041878
1184.49835,-0.042208
1184.49935,-0.042594
1184.50035,-0.043055
1184.50135,-0.04358
1184.50235,-0.044176
1184.50335,-0.044865
1184.50435,-0.045625
1184.50535,-0.046408
1184.50635,-0.047273
1184.50735,-0.048186
1184.50835,-0.049159
1184.50935,-0.050178
1184.51035,-0.051232
1184.51135,-0.05229
1184.51235,-0.053394
1184.51335,-0.054469
1184.51435,-0.055521
1184.51535,-0.056529
1184.51635,-0.057438
1184.51735,-0.058281
1184.51835,-0.058992
1184.51935,-0.059592
1184.52035,-0.060084
1184.52135,-0.06051
1184.52235,-0.060818
1184.52335,-0.061021
1184.52435,-0.06109
1184.52535,-0.061033
1184.52635,-0.060867
1184.52735,-0.060631
1184.52835,-0.060303
1184.52935,-0.059917
1184.53035,-0.059478
1184.53135,-0.058972
1184.53235,-0.058445
1184.53335,-0.057854
1184.53435,-0.057263
1184.53535,-0.056658
1184.53635,-0.056062
1184.53735,-0.055473
1184.53835,-0.054932
1184.53935,-0.054424
1184.54035,-0.053965
1184.54135,-0.053572
1184.54235,-0.053225
1184.54335,-0.052898
1184.54435,-0.052593
1184.54535,-0.052322
1184.54635,-0.052112
1184.54735,-0.051964
1184.54835,-0.051878
1184.54935,-0.051834
1184.55035,-0.051803
1184.55135,-0.05175
1184.55235,-0.051679
1184.55335,-0.051606
1184.55435,-0.051535
1184.55535,-0.051483
1184.55635,-0.051452
1184.55735,-0.051432
1184.55835,-0.05143
1184.55935,-0.051434
1184.56035,-0.051419
1184.56135,-0.05137
1184.56235,-0.051259
1184.56335,-0.051098
1184.56435,-0.050911
1184.56535,-0.050727
1184.56635,-0.050571
1184.56735,-0.050454
1184.56835,-0.050367
1184.56935,-0.050285
1184.57035,-0.050193
1184.57135,-0.050085
1184.57235,-0.049976
1184.57335,-0.049866
1184.57435,-0.049764
1184.57535,-0.049671
1184.57635,-0.049614
1184.57735,-0.049621
1184.57835,-0.049709
1184.57935,-0.049864
1184.58035,-0.050073
1184.58135,-0.050307
1184.58235,-0.050551
1184.58335,-0.05082
1184.58435,-0.051116
1184.58535,-0.051454
1184.58635,-0.05182
1184.58735,-0.052211
1184.58835,-0.052633
1184.58935,-0.05309
1184.59035,-0.053547
1184.59135,-0.054022
1184.59235,-0.054497
1184.59335,-0.054957
1184.59435,-0.055396
1184.59535,-0.055824
1184.59635,-0.056253
1184.59735,-0.056701
1184.59835,-0.057165
1184.59935,-0.057617
1184.60035,-0.058038
1184.60135,-0.058416
1184.60235,-0.058773
1184.60335,-0.059108
1184.60435,-0.059397
1184.60535,-0.05966
1184.60635,-0.059907
1184.60735,-0.06014
1184.60835,-0.060356
1184.60935,-0.060541
1184.61035,-0.060682
1184.61135,-0.060765
1184.61235,-0.060759
1184.61335,-0.06067
1184.61435,-0.06051
1184.61535,-0.060284
1184.61635,-0.060029
1184.61735,-0.059727
1184.61835,-0.059384
1184.61935,-0.059007
1184.62035,-0.058603
1184.62135,-0.058151
1184.62235,-0.057671
1184.62335,-0.057157
1184.62435,-0.056627
1184.62535,-0.056091
1184.62635,-0.055583
1184.62735,-0.055115
1184.62835,-0.054705
1184.62935,-0.054358
1184.63035,-0.054057
1184.63135,-0.053804
1184.63235,-0.053574
1184.63335,-0.053375
1184.63435,-0.053196
1184.63535,-0.053035
1184.63635,-0.052894
1184.63735,-0.052799
1184.63835,-0.052721
1184.63935,-0.052668
1184.64035,-0.052602
1184.64135,-0.052521
1184.64235,-0.052408
1184.64335,-0.052286
1184.64435,-0.05213
1184.64535,-0.051962
1184.64635,-0.051792
1184.64735,-0.05163
1184.64835,-0.051471
1184.64935,-0.051313
1184.65035,-0.051142
1184.65135,-0.050933
1184.65235,-0.050697
1184.65335,-0.050398
1184.65435,-0.050061
1184.65535,-0.049698
1184.65635,-0.049334
1184.65735,-0.049012
1184.65835,-0.048733
1184.65935,-0.04844
1184.66035,-0.048172
1184.66135,-0.047889
1184.66235,-0.047587
1184.66335,-0.04726
1184.66435,-0.046915
1184.66535,-0.046589
1184.66635,-0.046291
1184.66735,-0.046057
1184.66835,-0.045869
1184.66935,-0.045745
1184.67035,-0.045665
1184.67135,-0.045612
1184.67235,-0.045599
1184.67335,-0.045593
1184.67435,-0.045599
1184.67535,-0.045657
1184.67635,-0.04575
1184.67735,-0.045895
1184.67835,-0.046105
1184.67935,-0.046375
1184.68035,-0.04669
1184.68135,-0.047008
1184.68235,-0.047346
1184.68335,-0.047684
1184.68435,-0.048035
1184.68535,-0.048404
1184.68635,-0.048801
1184.68735,-0.049245
1184.68835,-0.04972
1184.68935,-0.050211
1184.69035,-0.050699
1184.69135,-0.051169
1184.69235,-0.051628
1184.69335,-0.052074
1184.69435,-0.052494
1184.69535,-0.052903
1184.69635,-0.053309
1184.69735,-0.053724
1184.69835,-0.054139
1184.69935,-0.054555
1184.70035,-0.054957
1184.70135,-0.055323
1184.70235,-0.055663
1184.70335,-0.055968
1184.70435,-0.056255
1184.70535,-0.056544
1184.70635,-0.056854
1184.70735,-0.057185
1184.70835,-0.057524
1184.70935,-0.057869
1184.71035,-0.05821
1184.71135,-0.058559
1184.71235,-0.058916
1184.71335,-0.059299
1184.71435,-0.059708
1184.71535,-0.060163
1184.71635,-0.060665
1184.71735,-0.061215
1184.71835,-0.061822
1184.71935,-0.062485
1184.72035,-0.063178
1184.72135,-0.063881
1184.72235,-0.064598
1184.72335,-0.065303
1184.72435,-0.065986
1184.72535,-0.066642
1184.72635,-0.067272
1184.72735,-0.067828
1184.72835,-0.068274
1184.72935,-0.06857
1184.73035,-0.068693
1184.73135,-0.068629
1184.73235,-0.068399
1184.73335,-0.068008
1184.73435,-0.067457
1184.73535,-0.066755
1184.73635,-0.065928
1184.73735,-0.065013
1184.73835,-0.064017
1184.73935,-0.062975
1184.74035,-0.061899
1184.74135,-0.060788
1184.74235,-0.059648
1184.74335,-0.058504
1184.74435,-0.057408
1184.74535,-0.056395
1184.74635,-0.055502
1184.74735,-0.054737
1184.74835,-0.054095
1184.74935,-0.05355
1184.75035,-0.053099
1184.75135,-0.052699
1184.75235,-0.052339
1184.75335,-0.052019
1184.75435,-0.051715
1184.75535,-0.05143
1184.75635,-0.051191
1184.75735,-0.050997
1184.75835,-0.050844
1184.75935,-0.050738
1184.76035,-0.050659
1184.76135,-0.05059
1184.76235,-0.050524
1184.76335,-0.050456
1184.76435,-0.050383
1184.76535,-0.050334
1184.76635,-0.050321
1184.76735,-0.050359
1184.76835,-0.05044
1184.76935,-0.050539
1184.77035,-0.050663
1184.77135,-0.050807
1184.77235,-0.050926
1184.77335,-0.051045
1184.77435,-0.051171
1184.77535,-0.051297
1184.77635,-0.051438
1184.77735,-0.051619
1184.77835,-0.051825
1184.77935,-0.052054
1184.78035,-0.052289
1184.78135,-0.052523
1184.78235,-0.052728
1184.78335,-0.052892
1184.78435,-0.053029
1184.78535,-0.053141
1184.78635,-0.053238
1184.78735,-0.053336
1184.78835,-0.053459
1184.78935,-0.05357
1184.79035,-0.053654
1184.79135,-0.053709
1184.79235,-0.053707
1184.79335,-0.053651
1184.79435,-0.053556
1184.79535,-0.053433
1184.79635,-0.053304
1184.79735,-0.053174
1184.79835,-0.053064
1184.79935,-0.052969
1184.80035,-0.052874
1184.80135,-0.052785
1184.80235,-0.052688
1184.80335,-0.052596
1184.80435,-0.05251
1184.80535,-0.052443
1184.80635,-0.05243
1184.80735,-0.052479
1184.80835,-0.052607
1184.80935,-0.052803
1184.81035,-0.053057
1184.81135,-0.053368
1184.81235,-0.053711
1184.81335,-0.054106
1184.81435,-0.05453
1184.81535,-0.055003
1184.81635,-0.055524
1184.81735,-0.05608
1184.81835,-0.056671
1184.81935,-0.057278
1184.82035,-0.057882
1184.82135,-0.058461
1184.82235,-0.059002
1184.82335,-0.059484
1184.82435,-0.059895
1184.82535,-0.060232
1184.82635,-0.060506
1184.82735,-0.060671
1184.82835,-0.060767
1184.82935,-0.060773
1184.83035,-0.060705
1184.83135,-0.060555
1184.83235,-0.060349
1184.83335,-0.060098
1184.83435,-0.059829
1184.83535,-0.059545
1184.83635,-0.059283
1184.83735,-0.059059
1184.83835,-0.058873
1184.83935,-0.058723
1184.84035,-0.058624
1184.84135,-0.058563
1184.84235,-0.058519
1184.84335,-0.058532
1184.84435,-0.058567
1184.84535,-0.058658
1184.84635,-0.058794
1184.84735,-0.058969
1184.84835,-0.059165
1184.84935,-0.059375
1184.85035,-0.059551
1184.85135,-0.059675
1184.85235,-0.059739
1184.85335,-0.059744
1184.85435,-0.059693
1184.85535,-0.059611
1184.85635,-0.059518
1184.85735,-0.059423
1184.85835,-0.059331
1184.85935,-0.059233
1184.86035,-0.059107
1184.86135,-0.058906
1184.86235,-0.058622
1184.86335,-0.058288
1184.86435,-0.057937
1184.86535,-0.057587
1184.86635,-0.057286
1184.86735,-0.057032
1184.86835,-0.056831
1184.86935,-0.056677
1184.87035,-0.056546
1184.87135,-0.056434
1184.87235,-0.056337
1184.87335,-0.056259
1184.87435,-0.056217
1184.87535,-0.056202
1184.87635,-0.056251
1184.87735,-0.05639
1184.87835,-0.056615
1184.87935,-0.056913
1184.88035,-0.057229
1184.88135,-0.057507
1184.88235,-0.057748
1184.88335,-0.057951
1184.88435,-0.058117
1184.88535,-0.058282
1184.88635,-0.058466
1184.88735,-0.058671
1184.88835,-0.058874
1184.88935,-0.059055
1184.89035,-0.05917
1184.89135,-0.059223
1184.89235,-0.059217
1184.89335,-0.059168
1184.89435,-0.059106
1184.89535,-0.059044
1184.89635,-0.059004
1184.89735,-0.059018
1184.89835,-0.059081
1184.89935,-0.059178
1184.90035,-0.059298
1184.90135,-0.059397
1184.90235,-0.059485
1184.90335,-0.059553
1184.90435,-0.059628
1184.90535,-0.059739
1184.90635,-0.059924
1184.90735,-0.060175
1184.90835,-0.060482
1184.90935,-0.060786
1184.91035,-0.061054
1184.91135,-0.061241
1184.91235,-0.061349
1184.91335,-0.061394
1184.91435,-0.061385
1184.91535,-0.061347
1184.91635,-0.061294
1184.91735,-0.061251
1184.91835,-0.061213
1184.91935,-0.061185
1184.92035,-0.061136
1184.92135,-0.061016
1184.92235,-0.060807
1184.92335,-0.060536
1184.92435,-0.06024
1184.92535,-0.059956
1184.92635,-0.059716
1184.92735,-0.059549
1184.92835,-0.059454
1184.92935,-0.059415
1184.93035,-0.059401
1184.93135,-0.059397
1184.93235,-0.05938
1184.93335,-0.059364
1184.93435,-0.059342
1184.93535,-0.059333
1184.93635,-0.059342
1184.93735,-0.059419
1184.93835,-0.059566
1184.93935,-0.059767
1184.94035,-0.059956
1184.94135,-0.060139
1184.94235,-0.060301
1184.94335,-0.060442
1184.94435,-0.060574
1184.94535,-0.060712
1184.94635,-0.060848
1184.94735,-0.060993
1184.94835,-0.061156
1184.94935,-0.061319
1184.95035,-0.061475
1184.95135,-0.061593
1184.95235,-0.06169
1184.95335,-0.061755
1184.95435,-0.061788
1184.95535,-0.061802
1184.95635,-0.061826
1184.95735,-0.061865
1184.95835,-0.061913
1184.95935,-0.061969
1184.96035,-0.062001
1184.96135,-0.061975
1184.96235,-0.061907
1184.96335,-0.061777
1184.96435,-0.061604
1184.96535,-0.061397
1184.96635,-0.06118
1184.96735,-0.060982
1184.96835,-0.06079
1184.96935,-0.060584
1184.97035,-0.060361
1184.97135,-0.060095
1184.97235,-0.059778
1184.97335,-0.059421
1184.97435,-0.059028
1184.97535,-0.05861
1184.97635,-0.058213
1184.97735,-0.057851
1184.97835,-0.057529
1184.97935,-0.057258
1184.98035,-0.057006
1184.98135,-0.056765
1184.98235,-0.056529
1184.98335,-0.056284
1184.98435,-0.056063
1184.98535,-0.055895
1184.98635,-0.055791
1184.98735,-0.055749
1184.98835,-0.055773
1184.98935,-0.055847
1184.99035,-0.055937
1184.99135,-0.056017
1184.99235,-0.056058
1184.99335,-0.056061
1184.99435,-0.056048
1184.99535,-0.056016
1184.99635,-0.055963
1184.99735,-0.055904
1184.99835,-0.055827
1184.99935,-0.055734
1185.00035,-0.055592
1185.00135,-0.055383
1185.00235,-0.055115
1185.00335,-0.054802
1185.00435,-0.054455
1185.00535,-0.054095
1185.00635,-0.053764
1185.00735,-0.053492
1185.00835,-0.053287
1185.00935,-0.053145
1185.01035,-0.053042
1185.01135,-0.052945
1185.01235,-0.052856
1185.01335,-0.052759
1185.01435,-0.052668
1185.01535,-0.052587
1185.01635,-0.05253
1185.01735,-0.05251
1185.01835,-0.052519
1185.01935,-0.052563
1185.02035,-0.052605
1185.02135,-0.052636
1185.02235,-0.052642
1185.02335,-0.052616
1185.02435,-0.052563
1185.02535,-0.052521
1185.02635,-0.052487
1185.02735,-0.052519
1185.02835,-0.052602
1185.02935,-0.052753
1185.03035,-0.052953
1185.03135,-0.053208
1185.03235,-0.05349
1185.03335,-0.05379
1185.03435,-0.054108
1185.03535,-0.054451
1185.03635,-0.054839
1185.03735,-0.055259
1185.03835,-0.055731
1185.03935,-0.056218
1185.04035,-0.056721
1185.04135,-0.057191
1185.04235,-0.057635
1185.04335,-0.058015
1185.04435,-0.058364
1185.04535,-0.058695
1185.04635,-0.058992
1185.04735,-0.059244
1185.04835,-0.059476
1185.04935,-0.059661
1185.05035,-0.059809
1185.05135,-0.059888
1185.05235,-0.059893
1185.05335,-0.059833
1185.05435,-0.05971
1185.05535,-0.059562
1185.05635,-0.059379
1185.05735,-0.059186
1185.05835,-0.058957
1185.05935,-0.058727
1185.06035,-0.058458
1185.06135,-0.058127
1185.06235,-0.057765
1185.06335,-0.05741
1185.06435,-0.057039
1185.06535,-0.056681
1185.06635,-0.056344
1185.06735,-0.056039
1185.06835,-0.055791
1185.06935,-0.055593
1185.07035,-0.055422
1185.07135,-0.055272
1185.07235,-0.055149
1185.07335,-0.055034
1185.07435,-0.054959
1185.07535,-0.054913
1185.07635,-0.054948
1185.07735,-0.055054
1185.07835,-0.055221
1185.07935,-0.055396
1185.08035,-0.055599
1185.08135,-0.055816
1185.08235,-0.056005
1185.08335,-0.056127
1185.08435,-0.056217
1185.08535,-0.056273
1185.08635,-0.05633
1185.08735,-0.056374
1185.08835,-0.05641
1185.08935,-0.056461
1185.09035,-0.056493
1185.09135,-0.056513
1185.09235,-0.056493
1185.09335,-0.056462
1185.09435,-0.056436
1185.09535,-0.056421
1185.09635,-0.056432
1185.09735,-0.056489
1185.09835,-0.056617
1185.09935,-0.056844
1185.10035,-0.057123
1185.10135,-0.057429
1185.10235,-0.057729
1185.10335,-0.058034
1185.10435,-0.058353
1185.10535,-0.058691
1185.10635,-0.059074
1185.10735,-0.059484
1185.10835,-0.059925
1185.10935,-0.060354
1185.11035,-0.060746
1185.11135,-0.061061
1185.11235,-0.061277
1185.11335,-0.061378
1185.11435,-0.061371
1185.11535,-0.061307
1185.11635,-0.061206
1185.11735,-0.061094
1185.11835,-0.060981
1185.11935,-0.060845
1185.12035,-0.060649
1185.12135,-0.060345
1185.12235,-0.059946
1185.12335,-0.05947
1185.12435,-0.058954
1185.12535,-0.058428
1185.12635,-0.057908
1185.12735,-0.057464
1185.12835,-0.057094
1185.12935,-0.0568
1185.13035,-0.056573
1185.13135,-0.056368
1185.13235,-0.056202
1185.13335,-0.056083
1185.13435,-0.056006
1185.13535,-0.056006
1185.13635,-0.056103
1185.13735,-0.056335
1185.13835,-0.056672
1185.13935,-0.057104
1185.14035,-0.057593
1185.14135,-0.058128
1185.14235,-0.058677
1185.14335,-0.05921
1185.14435,-0.059739
1185.14535,-0.060291
1185.14635,-0.060859
1185.14735,-0.061442
1185.14835,-0.062016
1185.14935,-0.062553
1185.15035,-0.063032
1185.15135,-0.063409
1185.15235,-0.06369
1185.15335,-0.063865
1185.15435,-0.063971
1185.15535,-0.06401
1185.15635,-0.06401
1185.15735,-0.063964
1185.15835,-0.063911
1185.15935,-0.063832
1185.16035,-0.063736
1185.16135,-0.063604
1185.16235,-0.063437
